"Kvartal";"Pålydende verdi"
"2015K3";"62 034"
"2015K4";"83 824"
"2016K1";"97 211"
"2016K2";"122 951"
"2016K3";"78 377"
"2016K4";"107 082"
"2017K1";"137 660"
"2017K2";"141 627"
"2017K3";"90 204"
"2017K4";"110 312"
"2018K1";"126 080"
"2018K2";"146 477"
"2018K3";"75 217"
"2018K4";"103 449"
"2019K1";"154 769"
"2019K2";"113 951"
"2019K3";"97 286"
"2019K4";"132 146"
"2020K1";"220 491"
"2020K2";"179 249"
"2020K3";"100 214"
"2020K4";"138 388"
"2021K1";"194 123"
"2021K2";"171 701"
"2021K3";"119 805"
"2021K4";"140 631"
"2022K1";"227 616"
"2022K2";"153 896"
"2022K3";"148 805"
"2022K4";"157 771"
"2023K1";"232 919"
"2023K2";"161 802"
"2023K3";"165 981"
"2023K4";"207 468"
"2024K1";"246 806"
"2024K2";"225 190"
"2024K3";"157 236"
"2024K4";"220 906"
"2025K1";"380 223"
"2025K2";"175 455"
"2025K3";"287 589"